x,y,node_id,kind,group
6,3,103682,leaf,0
7,3,242885,leaf,0
8,3,246320,leaf,0
9,3,277268,leaf,0
10,3,275407,leaf,0
11,3,91556,leaf,0
12,3,96769,leaf,0
13,3,205229,leaf,0
14,3,70770,leaf,0
15,3,70771,leaf,0
16,3,75174,leaf,0
17,3,71736,leaf,0
18,3,68551,leaf,0
19,3,305648,leaf,0
20,3,305649,leaf,0
21,3,390697,leaf,0
22,3,391915,leaf,0
23,3,366370,leaf,0
24,3,481045,leaf,0
25,3,482436,leaf,0
26,3,476673,leaf,0
27,3,434944,leaf,0
28,3,448735,leaf,0
29,3,156374,leaf,0
30,3,156226,leaf,0
31,3,781925,leaf_setaside,-1
32,3,269523,leaf,1
33,3,216765,leaf,1
34,3,273029,branch,1
35,3,369982,leaf,1
36,3,277849,leaf,1
37,3,367947,leaf,1
38,3,347547,leaf,1
39,3,213726,leaf,1
40,3,549209,leaf,1
41,3,571264,leaf,1
42,3,216756,leaf,1
43,3,548202,leaf,1
44,3,221289,leaf,1
45,3,634882,leaf,1
46,3,536103,leaf,1
47,3,536102,leaf,1
48,3,537345,leaf,1
49,3,498581,branch,1
50,3,530340,leaf,1
51,3,531528,leaf,1
52,3,527104,leaf,1
53,3,526314,leaf,1
54,3,526315,leaf,1
55,3,659562,leaf,1
56,3,660608,leaf,1
57,3,356537,leaf,1
58,3,348119,leaf,1
59,3,466627,leaf,1
60,3,395823,leaf,1
61,3,470180,leaf,1
62,3,465216,leaf,1
63,3,348118,leaf,1
64,3,735301,leaf,2
65,3,736005,leaf,2
66,3,735997,leaf,2
67,3,735300,leaf,2
68,3,720695,leaf,2
69,3,718794,leaf,2
70,3,925137,leaf,2
71,3,901365,leaf,2
72,3,814602,leaf,2
73,3,813441,leaf,2
74,3,874778,leaf,2
75,3,871459,leaf,2
76,3,857632,leaf,2
77,3,853520,leaf,2
78,3,852852,leaf,2
79,3,841600,leaf,2
80,3,1121701,leaf,2
81,3,839791,leaf,2
82,3,835980,leaf,2
83,3,1037562,leaf,2
84,3,1025828,leaf,2
85,3,1009501,leaf,2
86,3,1098600,leaf,2
87,3,978808,leaf,2
88,3,978809,leaf,2
89,3,1070634,leaf,2
90,3,1066174,leaf,2
91,3,1068512,leaf,2
92,3,934441,leaf,2
93,3,1084801,leaf,2
94,3,1082907,leaf,2
95,3,1087595,leaf,2
96,3,1244627,leaf,3
97,3,1281718,leaf,3
98,3,1277136,branch,3
99,3,1282708,leaf,3
100,3,1283374,leaf,3
101,3,1288710,leaf,3
102,3,1287613,leaf,3
103,3,1295581,leaf,3
104,3,1374022,leaf,3
105,3,1294230,leaf,3
106,3,1372492,leaf,3
107,3,1368562,leaf,3
108,3,218755,leaf,3
109,3,205957,leaf,3
110,3,199527,leaf,3
111,3,209277,leaf,3
112,3,1181529,leaf,3
113,3,1179244,leaf,3
114,3,1191554,leaf,3
115,3,1461179,leaf,3
116,3,1462145,leaf,3
117,3,1461178,leaf,3
118,3,1586604,leaf,3
119,3,1496836,leaf,3
120,3,1561988,leaf,3
121,3,1577288,leaf,3
122,3,1561989,leaf,3
123,3,1435964,leaf,3
124,3,1449674,leaf,3
125,3,1433217,leaf,3
126,3,1448551,leaf,3
127,3,1412993,leaf,3
0,4,99727,leaf,0
1,4,106365,leaf,0
2,4,137795,leaf,0
3,4,120341,leaf,0
4,4,120375,leaf,0
5,4,121335,leaf,0
6,4,224032,leaf,0
7,4,247400,leaf,0
8,4,267899,leaf,0
9,4,270576,leaf,0
10,4,72169,leaf,0
11,4,2,branch,0
12,4,88562,branch,0
13,4,95367,leaf,0
14,4,205271,leaf,0
15,4,69737,leaf,0
16,4,75175,leaf,0
17,4,69736,leaf,0
18,4,78085,leaf,0
19,4,68550,leaf,0
20,4,306936,leaf,0
21,4,341524,leaf,0
22,4,340055,leaf,0
23,4,366371,leaf,0
24,4,495877,leaf,0
25,4,482437,leaf,0
26,4,476647,leaf,0
27,4,475511,leaf,0
28,4,448734,leaf,0
29,4,148979,leaf,0
30,4,148978,leaf,0
31,4,810756,leaf_setaside,-1
32,4,361951,leaf,1
33,4,264347,leaf,1
34,4,366281,leaf,1
35,4,367946,leaf,1
36,4,214478,leaf,1
37,4,349700,leaf,1
38,4,349701,leaf,1
39,4,213339,leaf,1
40,4,212501,leaf,1
41,4,551560,leaf,1
42,4,549208,leaf,1
43,4,548203,leaf,1
44,4,213338,leaf,1
45,4,642163,leaf,1
46,4,637500,leaf,1
47,4,640260,leaf,1
48,4,538912,leaf,1
49,4,537964,leaf,1
50,4,540780,leaf,1
51,4,532722,leaf,1
52,4,523887,leaf,1
53,4,646781,leaf,1
54,4,646779,leaf,1
55,4,658987,leaf,1
56,4,367587,leaf,1
57,4,358232,leaf,1
58,4,345692,leaf,1
59,4,417888,leaf,1
